ID,Dataset,Gender,ethnicity_census,Handedness,Age,AgeMonths,LCA_SEP,weighted_mean_track,weighted_mean_aim,weighted_mean_steer,ethnicity,ethnicity_3gp
683,SS,Male,5,Right,5,65,Most dep,-0.751512295,-1.309433721,0.063030755,Asian/Asian British,Pakistani
684,PSY,Male,5,Right,8,103,Benefits but coping,0.255521592,NA,-0.512506877,Asian/Asian British,Pakistani
685,PSY,Female,5,Left,7,94,Benefits but coping,0.622480996,NA,-0.048228085,Asian/Asian British,Pakistani
686,PSY,Male,5,Right,8,97,Benefits but coping,-0.035519382,-0.179416603,0.234755673,Asian/Asian British,Pakistani
687,PSY,Male,5,Right,9,112,Employed no access to money,-0.239472585,NA,-0.295195361,Asian/Asian British,Pakistani
688,SS,Male,5,Right,5,64,Employed no access to money,-1.248645208,-0.761987403,-0.425558118,Asian/Asian British,Pakistani
689,PSY,Male,5,Right,8,100,Benefits but coping,0.194775247,0.172425754,0.308135134,Asian/Asian British,Pakistani
690,PSY,Male,1,Right,7,91,Most dep,0.404623804,0.198784091,0.248180831,White,White British
691,PSY,Female,1,Right,7,89,Least dep and most educated,-0.756026289,0.176737784,0.126101106,White,White British
692,PSY,Male,5,Right,9,108,Most dep,0.531767541,0.582301587,0.151695049,Asian/Asian British,Pakistani
693,PSY,Female,1,Right,8,97,Most dep,-0.286477005,0.35449997,0.335593199,White,White British
694,PSY,Female,5,Right,8,98,Benefits but coping,0.572074169,0.533226916,0.384313541,Asian/Asian British,Pakistani
695,PSY,Female,5,Left,7,92,Benefits but coping,-0.057235723,0.194167238,-0.119255066,Asian/Asian British,Pakistani
696,PSY,Female,5,Right,8,100,Benefits but coping,0.363494055,NA,0.015130824,Asian/Asian British,Pakistani
697,PSY,Male,5,Right,10,124,Benefits but coping,0.088654209,0.180279976,0.275573926,Asian/Asian British,Pakistani
698,PSY,Male,7,Right,9,110,Employed no access to money,0.255656396,0.676039711,0.193395287,Asian/Asian British,Other
699,PSY,Female,7,Right,8,98,Least dep and most educated,0.421522802,NA,0.218119702,Asian/Asian British,Other
700,PSY,Female,5,Left,9,110,Benefits but coping,0.503016766,0.679305425,0.368903764,Asian/Asian British,Pakistani
701,PSY,Female,5,Right,9,118,Benefits but coping,0.136153872,0.859370757,0.049838826,Asian/Asian British,Pakistani
702,PSY,Female,5,Right,9,115,Most dep,0.675123202,0.763151041,0.472572002,Asian/Asian British,Pakistani
703,PSY,Female,5,Right,9,117,Most dep,-0.525620571,-0.189853331,0.084317386,Asian/Asian British,Pakistani
704,PSY,Female,5,Right,9,109,Benefits but coping,-0.47825419,-0.176524145,-0.396448008,Asian/Asian British,Pakistani
705,PSY,Male,5,Right,8,104,Benefits but coping,0.582133435,0.711219979,0.0217264,Asian/Asian British,Pakistani
706,PSY,Male,5,Right,9,119,Least dep and most educated,0.40750276,0.410747968,0.382902088,Asian/Asian British,Pakistani
707,PSY,Female,5,Right,10,127,Benefits but coping,0.441711027,0.265024728,0.028773754,Asian/Asian British,Pakistani
708,PSY,Male,5,Right,8,104,Benefits but coping,0.597149619,NA,0.412723754,Asian/Asian British,Pakistani
709,PSY,Male,5,Right,10,121,Most dep,0.352490089,-0.069035466,0.102218659,Asian/Asian British,Pakistani
710,PSY,Male,5,Right,8,104,Benefits but coping,0.569080423,0.264985933,-0.103000975,Asian/Asian British,Pakistani
711,PSY,Male,5,Left,8,104,Benefits but coping,0.564867961,NA,0.166990871,Asian/Asian British,Pakistani
712,PSY,Female,5,Right,9,114,Employed not mat dep,-0.23639668,0.14252653,0.165933982,Asian/Asian British,Pakistani
713,PSY,Female,5,Right,10,129,Employed not mat dep,0.538228984,0.433186808,0.101377705,Asian/Asian British,Pakistani
714,PSY,Male,5,Right,9,111,Employed not mat dep,0.579670402,0.307781362,0.237318615,Asian/Asian British,Pakistani
715,PSY,Male,5,Right,10,128,Benefits but coping,0.568828786,0.451803499,0.416771708,Asian/Asian British,Pakistani
716,PSY,Female,5,Right,9,113,Benefits but coping,0.618784813,0.378778614,0.306750258,Asian/Asian British,Pakistani
717,PSY,Male,5,Right,8,100,Benefits but coping,0.496940287,0.377981534,0.050583215,Asian/Asian British,Pakistani
718,PSY,Female,5,Right,9,112,Least dep and most educated,-0.029975407,NA,0.125027629,Asian/Asian British,Pakistani
719,PSY,Male,5,Right,8,107,Benefits but coping,NA,NA,NA,Asian/Asian British,Pakistani
720,PSY,Female,5,Right,10,123,Employed no access to money,0.412429249,NA,0.316116665,Asian/Asian British,Pakistani
721,PSY,Female,7,Right,9,116,Most dep,0.582305919,0.611425618,0.110964935,Asian/Asian British,Other
722,PSY,Male,5,Right,8,103,Benefits but coping,0.392873856,0.275898018,-0.012802364,Asian/Asian British,Pakistani
723,PSY,Female,5,Right,10,127,Benefits but coping,0.506265985,0.823777383,0.250398898,Asian/Asian British,Pakistani
724,PSY,Male,5,Right,9,111,Employed no access to money,0.369515451,0.321781675,0.378090928,Asian/Asian British,Pakistani
725,PSY,Male,5,Right,9,115,Employed no access to money,0.572257143,0.877491648,0.315669418,Asian/Asian British,Pakistani
726,PSY,Male,5,Right,8,100,Most dep,-0.036076934,0.008943446,0.207581069,Asian/Asian British,Pakistani
727,PSY,Male,5,Right,10,130,Most dep,0.601805622,0.483717552,0.379306911,Asian/Asian British,Pakistani
728,PSY,Male,5,Right,9,118,Benefits but coping,0.29837282,0.807840032,0.016610413,Asian/Asian British,Pakistani
729,PSY,Female,5,Right,10,129,Benefits but coping,0.05961702,0.497750637,-0.13268871,Asian/Asian British,Pakistani
730,PSY,Female,5,Left,10,120,Most dep,0.511682541,0.272347358,0.022736886,Asian/Asian British,Pakistani
731,PSY,Male,5,Right,8,106,Benefits but coping,0.313291747,0.49216855,0.160160774,Asian/Asian British,Pakistani
732,PSY,Female,5,Right,9,115,Benefits but coping,0.613734202,0.433885401,0.418305126,Asian/Asian British,Pakistani
733,PSY,Male,5,Right,11,141,Employed no access to money,0.148275547,0.722251571,0.009246554,Asian/Asian British,Pakistani
734,PSY,Male,5,Right,10,126,Most dep,0.706031048,0.36186076,-0.055912744,Asian/Asian British,Pakistani
735,PSY,Female,5,Right,10,121,Benefits but coping,0.502899344,0.68140091,0.136136693,Asian/Asian British,Pakistani
736,PSY,Female,5,Right,8,103,Employed not mat dep,0.420345166,0.136097892,-0.575937563,Asian/Asian British,Pakistani
737,PSY,Female,5,Right,8,103,Benefits but coping,0.335277775,0.42408325,0.271701141,Asian/Asian British,Pakistani
738,PSY,Female,5,Right,8,100,Benefits but coping,0.141032254,NA,0.215812366,Asian/Asian British,Pakistani
739,PSY,Male,15,Right,8,99,Most dep,0.452707422,NA,0.043531336,Mixed,Other
740,PSY,Female,10,Right,8,100,Least dep and most educated,0.493856921,0.222076302,0.413596082,Black/Black British,Other
741,PSY,Male,1,Right,7,92,Employed not mat dep,0.681084368,0.630054849,0.442284581,White,White British
742,SS,Male,1,Right,4,56,Employed not mat dep,-0.467080925,NA,-0.398205119,White,White British
743,PSY,Male,1,Right,8,104,Benefits but coping,-0.112288772,0.228029057,0.755257625,White,White British
744,PSY,Female,15,Right,7,93,Employed not mat dep,0.528339415,0.572542912,0.264137471,Mixed,Other
745,SS,Female,15,Right,4,56,Employed not mat dep,-0.719402427,-0.842851192,0.177585867,Mixed,Other
746,PSY,Male,1,Left,8,100,Employed not mat dep,-0.123671144,NA,0.397202932,White,White British
747,SS,Male,1,Left,5,64,Employed not mat dep,-1.28267945,NA,0.077654449,White,White British
748,PSY,Female,1,Right,8,97,Employed not mat dep,0.039323502,0.011322572,0.385677459,White,White British
749,PSY,Male,1,Right,7,91,Employed not mat dep,0.437309593,0.085275015,0.175830871,White,White British
750,PSY,Female,1,Right,8,106,Most dep,0.470577378,0.59845369,0.371753544,White,White British
751,PSY,Female,4,Right,8,102,Least dep and most educated,0.092781543,0.187538486,0.372107014,White,Other
752,PSY,Female,1,Right,7,90,Employed not mat dep,0.305554428,0.445960753,0.402812457,White,White British
753,SS,Female,1,Right,4,53,Employed not mat dep,0.182054031,-0.181351586,0.234781175,White,White British
754,PSY,Male,10,Right,9,110,Least dep and most educated,0.256751942,0.84460486,0.317521529,Black/Black British,Other
755,PSY,Male,1,Right,8,97,Benefits but coping,0.497722717,0.491223371,0.195673412,White,White British
756,PSY,Female,5,Right,8,101,Employed no access to money,0.146252313,0.506925165,0.397907946,Asian/Asian British,Pakistani
757,PSY,Female,5,Right,7,95,Benefits but coping,-0.30410365,0.288607606,0.254008183,Asian/Asian British,Pakistani
758,PSY,Male,1,Right,8,104,Benefits but coping,0.333787208,NA,0.083090046,White,White British
759,PSY,Male,1,Right,9,109,Most dep,0.660810088,0.303411529,0.316917268,White,White British
760,PSY,Female,1,Right,9,112,Employed not mat dep,0.406975906,0.515152901,0.17838336,White,White British
761,PSY,Male,1,Right,7,91,Most dep,-0.091626711,0.06712158,0.108807896,White,White British
762,PSY,Female,1,Right,9,113,Most dep,0.482974102,0.564949538,0.388742616,White,White British
763,PSY,Female,1,Right,7,94,Most dep,0.215822914,0.580241437,0.211030991,White,White British
764,PSY,Male,5,Right,7,91,Benefits but coping,0.383950651,0.487069264,0.307645993,Asian/Asian British,Pakistani
765,PSY,Female,1,Right,9,115,Employed not mat dep,0.660533622,0.364563974,0.267917472,White,White British
766,PSY,Female,1,Right,7,95,Benefits but coping,0.484299964,0.174199165,0.325431811,White,White British
767,PSY,Female,5,Right,9,109,Most dep,0.262274705,0.35086936,-0.128490111,Asian/Asian British,Pakistani
768,PSY,Male,1,Right,8,105,Employed not mat dep,-0.207046616,0.434351601,0.113718256,White,White British
769,PSY,Male,16,Right,7,92,Least dep and most educated,0.358751725,0.419453182,0.314277746,Mixed,Other
770,PSY,Male,5,Right,8,96,Employed no access to money,0.264470475,0.557736661,0.106502877,Asian/Asian British,Pakistani
771,PSY,Female,1,Left,7,91,Employed not mat dep,0.558186701,0.380633531,0.323159984,White,White British
772,PSY,Male,1,Right,7,93,Employed no access to money,0.430093017,0.758503562,0.253451641,White,White British
773,SS,Male,1,Right,4,54,Employed no access to money,-0.504337119,NA,NA,White,White British
774,PSY,Male,14,Right,8,105,Least dep and most educated,0.263755274,NA,0.219951902,Mixed,Other
775,SS,Male,14,Right,4,56,Least dep and most educated,-2.966655043,-2.746877727,-0.435862101,Mixed,Other
776,PSY,Female,11,Right,8,105,Employed no access to money,0.412189135,0.753374518,0.453323794,Black/Black British,Other
777,SS,Female,11,Right,4,57,Employed no access to money,0.198157013,-0.126299323,0.163678019,Black/Black British,Other
778,PSY,Male,1,Right,7,92,Employed not mat dep,0.556169212,0.21289706,-0.021535678,White,White British
779,PSY,Female,16,Right,8,107,Employed not mat dep,0.477760048,NA,0.179035943,Mixed,Other
780,SS,Female,16,Right,4,58,Employed not mat dep,0.399575967,0.066374737,-1.095251139,Mixed,Other
781,PSY,Male,1,Right,8,106,Least dep and most educated,0.519285614,0.732255917,0.136944905,White,White British
782,SS,Male,1,Right,4,58,Least dep and most educated,-0.455565091,NA,0.11286532,White,White British
783,PSY,Male,1,Right,8,103,Employed not mat dep,0.422772339,0.733480742,0.124551526,White,White British
784,SS,Male,1,Right,5,64,Employed not mat dep,-1.226450902,NA,0.013886584,White,White British
785,PSY,Female,7,Right,9,112,Least dep and most educated,0.410872807,-0.102076978,0.081541063,Asian/Asian British,Other
786,SS,Female,7,Right,5,64,Least dep and most educated,-0.391317957,-0.402644435,-0.039831807,Asian/Asian British,Other
787,PSY,Male,7,Right,8,96,Employed no access to money,0.321147794,0.441748792,-0.54293161,Asian/Asian British,Other
788,SS,Male,7,Right,4,57,Employed no access to money,-0.764452459,NA,-0.22094952,Asian/Asian British,Other
789,PSY,Male,1,Right,8,101,Employed no access to money,0.484547097,0.291982382,0.195792292,White,White British
790,SS,Male,1,Right,5,62,Employed no access to money,-1.301438761,-0.918307095,0.062193144,White,White British
791,PSY,Female,5,Right,7,93,Employed not mat dep,0.350688556,0.411338435,0.219531944,Asian/Asian British,Pakistani
792,PSY,Female,1,Right,8,97,Benefits but coping,0.617829987,0.626021473,0.227663474,White,White British
793,SS,Female,1,Right,4,59,Benefits but coping,0.326568465,-0.542626198,-0.004468522,White,White British
794,PSY,Male,1,Right,7,94,Employed no access to money,0.640505506,0.239537976,0.357228611,White,White British
795,SS,Male,1,Right,4,55,Employed no access to money,-0.160776801,-2.894493411,-0.391223365,White,White British
796,PSY,Male,6,Right,8,100,Least dep and most educated,0.620471398,0.609971251,0.277059102,Asian/Asian British,Other
797,SS,Male,6,Right,5,62,Least dep and most educated,NA,NA,NA,Asian/Asian British,Other
798,PSY,Female,1,Right,8,97,Employed no access to money,0.438579647,0.110678118,0.16765298,White,White British
799,PSY,Female,1,Right,7,89,Employed no access to money,-0.171391349,0.25890892,0.372089248,White,White British
800,PSY,Female,1,Right,7,92,Most dep,0.354432085,0.910597426,0.291669572,White,White British
801,SS,Female,1,Right,4,53,Most dep,-0.077153621,-0.362681754,0.176250694,White,White British
802,PSY,Male,1,Right,8,103,Employed not mat dep,0.264686535,0.608188664,0.21656567,White,White British
803,SS,Male,1,Right,5,65,Employed not mat dep,0.109886188,-0.798662455,-0.012099641,White,White British
804,PSY,Female,5,Right,9,108,Benefits but coping,0.04521584,NA,0.1136695,Asian/Asian British,Pakistani
805,SS,Female,5,Right,5,63,Benefits but coping,-1.224292304,-0.714164269,0.21496333,Asian/Asian British,Pakistani
806,PSY,Female,5,Left,7,87,Least dep and most educated,0.518360686,0.495972537,0.284335983,Asian/Asian British,Pakistani
807,PSY,Female,5,Right,8,100,Employed no access to money,0.624047343,0.543041114,0.382817781,Asian/Asian British,Pakistani
808,SS,Female,5,Right,4,54,Employed no access to money,-0.345917065,NA,-0.001930223,Asian/Asian British,Pakistani
809,PSY,Male,5,Right,7,88,Benefits but coping,0.42962802,0.414047399,0.020745329,Asian/Asian British,Pakistani
810,PSY,Male,5,Left,8,98,Employed not mat dep,0.552666063,0.448240195,0.275720416,Asian/Asian British,Pakistani
811,PSY,Male,5,Right,7,94,Least dep and most educated,-0.349078319,0.675719386,0.149857815,Asian/Asian British,Pakistani
812,PSY,Female,5,Right,8,103,Employed no access to money,0.561071866,0.643108898,0.111308629,Asian/Asian British,Pakistani
813,SS,Female,5,Right,4,57,Employed no access to money,-1.132941838,-1.080219441,-0.303174086,Asian/Asian British,Pakistani
814,PSY,Male,5,Right,8,104,Most dep,0.654155852,0.424001732,0.074480854,Asian/Asian British,Pakistani
815,SS,Male,5,Right,4,59,Most dep,0.176113766,-0.615058813,-0.058337947,Asian/Asian British,Pakistani
816,PSY,Female,5,Right,8,105,Employed no access to money,0.345244211,0.544350696,0.048452928,Asian/Asian British,Pakistani
817,SS,Female,5,Right,5,60,Employed no access to money,-0.538556404,-0.662761956,-0.345782916,Asian/Asian British,Pakistani
818,PSY,Male,5,Left,8,96,Benefits but coping,0.542320161,NA,0.269434714,Asian/Asian British,Pakistani
819,PSY,Female,7,Right,8,104,Least dep and most educated,0.22293518,0.385651665,0.296313203,Asian/Asian British,Other
820,SS,Female,7,Right,4,53,Least dep and most educated,-0.679930338,NA,-1.046511395,Asian/Asian British,Other
821,PSY,Male,5,Right,8,97,Employed no access to money,0.389165582,0.94199461,0.057588337,Asian/Asian British,Pakistani
822,PSY,Male,1,Right,8,97,Most dep,0.685622644,0.007889648,0.209409267,White,White British
823,PSY,Female,5,Right,7,90,Employed not mat dep,0.633735612,NA,0.354549899,Asian/Asian British,Pakistani
824,PSY,Male,5,Right,7,92,Least dep and most educated,0.035267736,-0.396743542,0.285430615,Asian/Asian British,Pakistani
825,SS,Male,5,Right,4,51,Least dep and most educated,-0.59490031,-2.363882752,-0.679506191,Asian/Asian British,Pakistani
826,PSY,Female,5,Right,7,94,Employed not mat dep,-0.215942241,0.555335655,0.296584413,Asian/Asian British,Pakistani
827,SS,Female,5,Right,4,53,Employed not mat dep,-1.884138316,NA,-0.428924452,Asian/Asian British,Pakistani
828,PSY,Female,1,Right,8,100,Employed no access to money,0.414428588,0.587724946,0.022419683,White,White British
829,PSY,Male,5,Right,8,101,Employed not mat dep,0.426331806,0.20458093,-0.248250122,Asian/Asian British,Pakistani
830,SS,Male,5,Right,4,51,Employed not mat dep,-0.270298012,-1.466262204,-0.43734526,Asian/Asian British,Pakistani
831,PSY,Female,5,Right,8,107,Benefits but coping,0.614710966,0.741819168,0.186166709,Asian/Asian British,Pakistani
832,SS,Female,5,Right,4,57,Benefits but coping,0.207908279,NA,0.186172621,Asian/Asian British,Pakistani
833,PSY,Male,1,Right,7,95,Most dep,0.348714237,NA,0.311091769,White,White British
834,SS,Male,1,Right,4,57,Most dep,-0.170496044,NA,-0.544319993,White,White British
835,PSY,Male,5,Right,8,97,Most dep,0.52095482,0.519120937,-0.006436387,Asian/Asian British,Pakistani
836,PSY,Female,5,Right,7,92,Employed no access to money,0.602287342,0.142464692,0.343297406,Asian/Asian British,Pakistani
837,PSY,Female,7,Right,8,100,Most dep,0.539961807,0.54039308,0.374693014,Asian/Asian British,Other
838,PSY,Female,1,Left,8,96,Most dep,0.510273937,0.391264645,0.245297808,White,White British
839,PSY,Male,5,Right,9,113,Least dep and most educated,0.335405348,0.436001664,0.212574246,Asian/Asian British,Pakistani
840,SS,Male,5,Right,5,67,Least dep and most educated,-0.784740447,-0.99234523,-0.252491644,Asian/Asian British,Pakistani
841,PSY,Female,5,Left,7,91,Benefits but coping,0.168366144,0.337217278,0.35545883,Asian/Asian British,Pakistani
842,PSY,Female,5,Right,7,93,Least dep and most educated,0.644229571,0.398417296,0.3508915,Asian/Asian British,Pakistani
843,PSY,Male,5,Right,8,98,Benefits but coping,0.053124991,NA,0.422440048,Asian/Asian British,Pakistani
844,PSY,Female,5,Right,8,105,Benefits but coping,-0.079364173,0.2010233,-0.070180865,Asian/Asian British,Pakistani
845,SS,Female,5,Right,4,55,Benefits but coping,-1.12027408,-0.524918527,0.023474563,Asian/Asian British,Pakistani
846,PSY,Female,5,Right,8,106,Benefits but coping,0.593436236,0.673213688,0.197813524,Asian/Asian British,Pakistani
847,SS,Female,5,Right,4,56,Benefits but coping,-0.190106842,-0.500818993,0.16259878,Asian/Asian British,Pakistani
848,PSY,Female,1,Right,8,96,Most dep,0.119287356,NA,0.139567694,White,White British
849,PSY,Male,5,Right,7,93,Employed no access to money,0.195927239,0.406902765,0.21083295,Asian/Asian British,Pakistani
850,PSY,Female,13,Right,8,98,Most dep,0.301795914,0.16116726,0.158276128,Mixed,Other
851,PSY,Female,5,Right,8,96,Benefits but coping,0.479229679,0.666036459,0.374569763,Asian/Asian British,Pakistani
852,SS,Female,5,Right,4,58,Benefits but coping,-0.17405405,-0.346358906,0.194853521,Asian/Asian British,Pakistani
853,PSY,Female,1,Left,7,93,Most dep,0.410417969,0.424373542,0.179176692,White,White British
854,PSY,Male,5,Right,8,97,Least dep and most educated,0.550242578,0.75805019,0.301458664,Asian/Asian British,Pakistani
855,PSY,Female,4,Right,7,89,Benefits but coping,0.518710541,NA,0.274904822,White,Other
856,PSY,Male,1,Right,8,104,Employed no access to money,0.572835538,0.124253758,0.236534329,White,White British
857,PSY,Male,13,Right,7,93,Most dep,0.520625513,0.437981381,-0.144873093,Mixed,Other
858,SS,Male,13,Right,4,52,Most dep,-0.824132449,-0.972011358,-0.275415511,Mixed,Other
859,PSY,Female,1,Left,9,109,Most dep,0.5763355,0.555227834,-0.030165313,White,White British
860,SS,Female,1,Left,4,59,Most dep,-0.783949685,NA,-2.26355362,White,White British
861,PSY,Female,1,Right,7,92,Benefits but coping,0.143419164,0.557309914,0.143119592,White,White British
862,SS,Female,1,Right,4,54,Benefits but coping,-0.489053535,-1.278690418,0.078323746,White,White British
863,PSY,Female,5,Right,8,97,Most dep,0.638992783,0.558355139,0.344358259,Asian/Asian British,Pakistani
864,PSY,Male,5,Right,8,99,Most dep,-0.155925771,0.217888473,0.299492852,Asian/Asian British,Pakistani
865,SS,Male,5,Right,5,61,Most dep,-0.783252092,-1.033281116,0.201210807,Asian/Asian British,Pakistani
866,PSY,Female,5,Right,9,114,Employed not mat dep,0.619935772,0.226704361,-0.037371744,Asian/Asian British,Pakistani
867,SS,Female,5,Right,5,64,Employed not mat dep,-0.427821797,-1.215053167,-0.12876629,Asian/Asian British,Pakistani
868,PSY,Female,5,Right,8,98,Employed no access to money,0.572179519,0.3136567,0.430417555,Asian/Asian British,Pakistani
869,PSY,Female,1,Right,7,91,Most dep,0.562313455,0.66259741,0.279797756,White,White British
870,PSY,Male,5,Right,8,99,Most dep,0.357146453,0.036542401,0.117326654,Asian/Asian British,Pakistani
871,PSY,Female,7,Right,8,102,Least dep and most educated,0.267729549,0.584128907,0.221967709,Asian/Asian British,Other
872,SS,Female,7,Right,5,64,Least dep and most educated,-1.287871012,NA,0.099016088,Asian/Asian British,Other
873,PSY,Male,1,Right,8,99,Benefits but coping,0.223743109,0.350885295,0.254851224,White,White British
874,PSY,Female,5,Left,9,111,Benefits but coping,0.322830141,0.621186173,0.297847918,Asian/Asian British,Pakistani
875,SS,Female,5,Left,5,61,Benefits but coping,-0.455560406,-1.004519278,-0.330147811,Asian/Asian British,Pakistani
876,PSY,Female,5,Right,8,98,Benefits but coping,-1.086252888,0.225553936,-0.0005424,Asian/Asian British,Pakistani
877,SS,Female,5,Right,5,60,Benefits but coping,-0.438689733,-0.24255816,0.078321772,Asian/Asian British,Pakistani
878,PSY,Male,5,Right,7,92,Employed not mat dep,0.216796387,-0.204416742,0.100436809,Asian/Asian British,Pakistani
879,SS,Male,5,Right,4,54,Employed not mat dep,-1.315190941,NA,-0.41127068,Asian/Asian British,Pakistani
880,PSY,Female,5,Left,8,101,Benefits but coping,0.687443457,0.523871394,0.319051083,Asian/Asian British,Pakistani
881,SS,Female,5,Left,5,63,Benefits but coping,0.175156388,-0.000663703,-0.31372684,Asian/Asian British,Pakistani
882,PSY,Male,10,Right,7,94,Least dep and most educated,0.46739904,-0.424549142,-0.245244261,Black/Black British,Other
883,PSY,Female,5,Right,7,95,Benefits but coping,-0.220704277,0.074539855,-0.18907499,Asian/Asian British,Pakistani
884,PSY,Male,5,Right,7,95,Most dep,0.488567938,0.054036172,0.118329069,Asian/Asian British,Pakistani
885,PSY,Male,5,Right,7,91,Most dep,0.321702732,0.381423165,-0.082994485,Asian/Asian British,Pakistani
886,PSY,Male,5,Right,8,98,Employed not mat dep,0.563186838,0.040162864,0.266765779,Asian/Asian British,Pakistani
887,PSY,Male,5,Right,7,92,Benefits but coping,0.110852813,0.308066598,0.204796859,Asian/Asian British,Pakistani
888,PSY,Female,10,Right,7,90,Employed no access to money,0.466669149,0.483367644,-0.07540759,Black/Black British,Other
889,PSY,Male,5,Right,7,92,Most dep,-0.173134919,NA,-0.487765434,Asian/Asian British,Pakistani
890,PSY,Male,5,Right,7,90,Benefits but coping,0.574449056,0.007509401,0.347086173,Asian/Asian British,Pakistani
891,PSY,Male,5,Right,8,100,Benefits but coping,0.283466491,0.946096893,-0.423703551,Asian/Asian British,Pakistani
892,PSY,Female,5,Right,8,99,Employed not mat dep,0.146687434,0.525671603,-0.2403984,Asian/Asian British,Pakistani
893,SS,Female,5,Right,5,61,Employed not mat dep,-1.302650007,-0.8232816,0.018698093,Asian/Asian British,Pakistani
894,PSY,Female,5,Right,8,104,Benefits but coping,-0.186431298,0.700909229,0.105908208,Asian/Asian British,Pakistani
895,SS,Female,5,Right,5,64,Benefits but coping,-0.473992894,NA,0.309927855,Asian/Asian British,Pakistani
896,PSY,Female,1,Right,8,97,Most dep,0.071616456,0.338309717,0.043430361,White,White British
897,PSY,Male,5,Left,8,97,Most dep,0.027190935,0.000343,0.045137505,Asian/Asian British,Pakistani
898,PSY,Male,5,Right,9,116,Benefits but coping,0.524165466,NA,0.175147844,Asian/Asian British,Pakistani
899,PSY,Male,5,Right,8,106,Employed no access to money,0.58620421,0.760573962,-0.042729892,Asian/Asian British,Pakistani
900,PSY,Female,6,Left,8,97,Employed no access to money,0.570079343,0.584965359,-0.117198307,Asian/Asian British,Other
901,PSY,Male,13,Left,8,106,Most dep,-1.060287739,0.13039186,0.242942133,Mixed,Other
902,PSY,Male,5,Right,8,107,Employed not mat dep,0.414693404,0.231966956,0.302023277,Asian/Asian British,Pakistani
903,PSY,Female,5,Left,8,97,Employed no access to money,0.475725791,0.48390881,0.299092029,Asian/Asian British,Pakistani
904,SS,Female,5,Left,4,57,Employed no access to money,-0.806017868,-0.965299435,0.155596351,Asian/Asian British,Pakistani
905,PSY,Male,5,Right,8,100,Employed no access to money,-0.134313362,0.450673366,-0.017059991,Asian/Asian British,Pakistani
906,SS,Male,5,Right,5,61,Employed no access to money,-1.423305082,NA,0.10254672,Asian/Asian British,Pakistani
907,PSY,Male,5,Right,7,94,Most dep,0.240140112,0.632577389,0.293506611,Asian/Asian British,Pakistani
908,SS,Male,5,Right,4,55,Most dep,-2.674012119,-0.897576522,0.033896073,Asian/Asian British,Pakistani
909,PSY,Female,5,Right,9,110,Employed no access to money,-0.410902847,0.688227672,0.398964259,Asian/Asian British,Pakistani
910,PSY,Male,5,Left,7,92,Most dep,0.271349478,0.214594652,0.173773708,Asian/Asian British,Pakistani
911,SS,Male,5,Left,4,54,Most dep,-1.304832358,-2.211139215,-1.048239451,Asian/Asian British,Pakistani
912,PSY,Female,2,Right,9,110,Most dep,0.326803765,0.510784697,-1.044397141,White,Other
913,PSY,Male,5,Right,8,96,Employed no access to money,0.453671976,0.312473904,0.027221946,Asian/Asian British,Pakistani
914,SS,Male,5,Right,4,59,Employed no access to money,-0.571094205,-1.78670426,-0.554620268,Asian/Asian British,Pakistani
915,PSY,Female,5,Right,9,112,Benefits but coping,0.289019759,NA,0.171744073,Asian/Asian British,Pakistani
916,SS,Female,5,Right,5,65,Benefits but coping,-0.413787155,-0.75421616,-0.893945716,Asian/Asian British,Pakistani
917,PSY,Female,5,Right,8,106,Benefits but coping,0.606302245,0.600723902,0.299763374,Asian/Asian British,Pakistani
918,SS,Female,5,Right,4,59,Benefits but coping,-0.60075829,NA,0.336147871,Asian/Asian British,Pakistani
919,PSY,Male,5,Right,9,114,Benefits but coping,0.526663047,0.882129019,0.281230489,Asian/Asian British,Pakistani
920,SS,Male,5,Right,5,66,Benefits but coping,-1.147796815,-0.260538506,-0.942849311,Asian/Asian British,Pakistani
921,PSY,Male,5,Right,8,99,Least dep and most educated,0.565973242,0.822314726,0.182779184,Asian/Asian British,Pakistani
922,SS,Male,5,Right,5,62,Least dep and most educated,-1.989641186,-0.4409596,-1.064073411,Asian/Asian British,Pakistani
923,PSY,Male,5,Right,8,99,Most dep,0.691905444,0.544372918,0.309981596,Asian/Asian British,Pakistani
924,SS,Male,5,Right,5,61,Most dep,0.097979516,-0.236335344,0.114216285,Asian/Asian British,Pakistani
925,PSY,Female,5,Left,8,107,Most dep,0.590409061,0.620793201,0.302755772,Asian/Asian British,Pakistani
926,PSY,Female,5,Right,7,92,Most dep,0.43411728,-0.034184677,0.160013841,Asian/Asian British,Pakistani
927,SS,Female,5,Right,4,55,Most dep,-0.665045834,-0.931649899,-0.108089683,Asian/Asian British,Pakistani
928,PSY,Male,5,Right,8,103,Employed not mat dep,-0.4230107,NA,0.324007791,Asian/Asian British,Pakistani
929,SS,Male,5,Right,5,65,Employed not mat dep,-2.061613418,-3.037900228,-1.356716373,Asian/Asian British,Pakistani
930,PSY,Female,5,Right,8,96,Benefits but coping,0.141155059,-0.041306135,-0.026994939,Asian/Asian British,Pakistani
931,SS,Female,5,Right,4,58,Benefits but coping,-1.032891303,-1.433565016,-1.068302285,Asian/Asian British,Pakistani
932,PSY,Female,5,Right,7,95,Benefits but coping,0.515901757,NA,0.338898847,Asian/Asian British,Pakistani
